CELL_LINE_NAME,AUC
KE-37,0.93245
KELLY,0.961678
KG-1,0.97437
KGN,0.973475
KINGS-1,0.971645
KLE,0.920993
KM-H2,0.975511
KM12,0.946749
KMOE-2,0.969696
KMRC-1,0.97772
KMRC-20,0.936513
KMS-12-BM,0.945639
KNS-62,0.972794
KOPN-8,0.926219
KP-1N,0.961356
KP-2,0.970783
KP-3,0.96038
KP-4,0.98288
KP-N-YN,0.962583
KS-1,0.96944
KU-19-19,0.94706
KU812,0.914
KURAMOCHI,0.946881
KY821,0.985617
KYAE-1,0.907613
KYM-1,0.989592
KYSE-140,0.862713
KYSE-150,0.875456
KYSE-180,0.914437
KYSE-220,0.895393
KYSE-270,0.925493
KYSE-410,0.885
KYSE-450,0.782748
KYSE-50,0.930942
KYSE-520,0.740923
KYSE-70,0.960532
L-1236,0.978139
L-363,0.987125
L-428,0.907703
L-540,0.991667
LAMA-84,0.961017
LB771-HNC,0.91129
LB831-BLC,0.984441
LB996-RCC,0.823536
LC-1-sq,0.876385
LC4-1,0.966397
LCLC-103H,0.978376
LCLC-97TM1,0.984609
LK-2,0.976183
LN-18,0.949583
LN-229,0.909123
LN-405,0.971593
LNCaP-Clone-FGC,0.97617
LOU-NH91,0.833183
LOUCY,0.934224
LOXIMVI,0.982846
LS-123,0.950721
LS-180,0.935957
LS-411N,0.982251
LU-135,0.988356
LU-165,0.981078
LU-65,0.941005
LXF-289,0.982938
LoVo,0.859989
M059J,0.953234
M14,0.921369
MC-CAR,0.98948
MCF7,0.972391
MDA-MB-157,0.977579
MDA-MB-175-VII,0.750282
MDA-MB-231,0.979219
MDA-MB-361,0.962728
MDA-MB-415,0.982961
MDA-MB-436,0.974394
MDA-MB-453,0.966737
MDA-MB-468,0.940889
MDST8,0.962946
ME-1,0.9779
ME-180,0.902458
MEG-01,0.952194
MEL-JUSO,0.98507
MES-SA,0.957498
MFE-280,0.979151
MFE-296,0.957995
MFE-319,0.935702
MFH-ino,0.964333
MFM-223,0.962124
MG-63,0.968852
MHH-CALL-2,0.943344
MHH-ES-1,0.981715
MHH-PREB-1,0.983855
MIA-PaCa-2,0.97831
MKN1,0.917633
MKN28,0.964216
MKN45,0.981172
MKN7,0.903767
ML-2,0.992594
MLMA,0.983075
MM1S,0.988833
MN-60,0.970116
MOG-G-CCM,0.976548
MOG-G-UVW,0.989403
MOLM-13,0.879541
MOLP-8,0.989838
MOLT-13,0.987203
MOLT-16,0.987905
MOLT-4,0.977029
MONO-MAC-6,0.962087
MPP-89,0.971471
MRK-nu-1,0.987437
MS-1,0.993099
MS751,0.970989
MSTO-211H,0.940383
MV-4-11,0.92645
Mewo,0.984433
Mo-T,0.987034
NALM-6,0.987109
NAMALWA,0.975116
NB(TU)1-10,0.901426
NB1,0.957448
NB10,0.983809
NB12,0.963606
NB13,0.987333
NB14,0.965394
NB69,0.91126
NB7,0.979339
NCCIT,0.953995
NCI-H1048,0.984259
NCI-H1092,0.948915
NCI-H1155,0.906438
NCI-H1299,0.980998
NCI-H1341,0.852735
NCI-H1355,0.939829
NCI-H1417,0.929063
NCI-H1435,0.990067
NCI-H1563,0.934271
NCI-H1568,0.763558
NCI-H1573,0.890147
NCI-H1581,0.987006
NCI-H1623,0.830198
NCI-H1648,0.795559
NCI-H1650,0.827623
NCI-H1651,0.964017
NCI-H1666,0.773579
NCI-H1688,0.946678
NCI-H1693,0.859201
NCI-H1694,0.956612
NCI-H1703,0.974985
NCI-H1755,0.952304
NCI-H1781,0.911383
NCI-H1792,0.974615
NCI-H1793,0.93849
NCI-H1838,0.949061
NCI-H1869,0.822714
NCI-H1876,0.951118
NCI-H1915,0.96356
NCI-H1944,0.892086
NCI-H196,0.958642
NCI-H1963,0.956209
NCI-H1975,0.911766
NCI-H1993,0.96913
NCI-H2009,0.962671
NCI-H2023,0.963652
NCI-H2052,0.94019
NCI-H2066,0.907369
NCI-H2085,0.979549
NCI-H2087,0.977198
NCI-H209,0.929534
NCI-H211,0.983028
NCI-H2122,0.885976
NCI-H2141,0.965617
NCI-H2170,0.856711
NCI-H2228,0.949311
NCI-H226,0.956376
NCI-H23,0.979541
NCI-H2342,0.970829
NCI-H2347,0.954651
NCI-H2369,0.951813
NCI-H2373,0.952872
NCI-H2405,0.898844
NCI-H2452,0.942502
NCI-H2461,0.971233
NCI-H2591,0.945279
NCI-H2595,0.973051
NCI-H2722,0.896041
NCI-H2731,0.976112
NCI-H2795,0.930198
NCI-H28,0.913459
NCI-H2818,0.935082
NCI-H3118,0.814962
NCI-H3122,0.978901
NCI-H322M,0.669067
NCI-H358,0.899004
NCI-H441,0.889948
NCI-H446,0.976517
NCI-H513,0.851823
NCI-H520,0.966014
NCI-H522,0.967867
NCI-H524,0.991737
NCI-H526,0.980832
NCI-H596,0.974316
NCI-H64,0.970338
NCI-H650,0.982813
NCI-H661,0.966271
NCI-H69,0.977841
NCI-H716,0.935679
NCI-H720,0.96699
NCI-H727,0.977083
NCI-H747,0.82872
NCI-H810,0.980585
NCI-H82,0.965354
NCI-H835,0.98859
NCI-H841,0.943717
NCI-H847,0.97039
NCI-H929,0.986198
NCI-N87,0.957326
NEC8,0.993761
NH-12,0.941314
NKM-1,0.973746
NOMO-1,0.977628
NOS-1,0.926229
NTERA-2-cl-D1,0.976315
NUGC-3,0.789265
NUGC-4,0.894999
NY,0.972371
OACM5-1,0.960223
OACp4C,0.932029
OAW-28,0.957901
OAW-42,0.957993
OC-314,0.974069
OCI-AML2,0.985609
OCI-AML3,0.988061
OCI-M1,0.943616
OCUB-M,0.984166
OCUM-1,0.974796
OE19,0.935635
OE21,0.8473
OE33,0.945327
ONS-76,0.968531
OPM-2,0.985898
OS-RC-2,0.957208
OSC-20,0.936736
OV-56,0.976181
OV-90,0.96783
OVCA420,0.687271
OVCAR-3,0.941204
OVCAR-4,0.956021
OVCAR-5,0.963071
OVCAR-8,0.94943
OVISE,0.907501
OVKATE,0.894894
OVMIU,0.769409
OVTOKO,0.910513
P12-ICHIKAWA,0.973647
P30-OHK,0.832635
P31-FUJ,0.95149
P32-ISH,0.994217
PA-1,0.963095
PA-TU-8902,0.954862
PA-TU-8988T,0.93909
PANC-02-03,0.905261
PANC-03-27,0.931452
PANC-04-03,0.876597
PANC-08-13,0.912042
PANC-10-05,0.952667
PC-14,0.566755
PC-3,0.966612
PCI-30,0.951067
PEO1,0.94836
PF-382,0.987566
PFSK-1,0.958145
PL18,0.97283
PL4,0.966761
PSN1,0.966487
PWR-1E,0.966736
RC-K8,0.97975
RCC-JW,0.967167
RCC10RGB,0.802283
RCM-1,0.923923
RD,0.972317
REH,0.991199
RERF-GC-1B,0.933357
RERF-LC-KJ,0.874183
RERF-LC-Sq1,0.8384
RF-48,0.9825
RH-1,0.951307
RH-41,0.988762
RKN,0.973883
RKO,0.986836
RL95-2,0.938436
RMG-I,0.786882
RO82-W-1,0.956424
RPMI-6666,0.967041
RPMI-7951,0.976419
RPMI-8226,0.9732
RPMI-8402,0.954574
RS4-11,0.931756
RT-112,0.936224
RT4,0.949028
Raji,0.955138
Ramos-2G6-4C10,0.997508
SAS,0.865903
SAT,0.855774
SBC-3,0.98237
SBC-5,0.973811
SCC-15,0.864435
SCC-3,0.958425
SCC-4,0.983705
SCC-9,0.931645
SCC90,0.823303
SF268,0.952864
SF539,0.964003
SH-4,0.981001
SHP-77,0.982906
SIMA,0.984439
SISO,0.967351
SJRH30,0.94807
SJSA-1,0.976153
SK-CO-1,0.948565
SK-ES-1,0.948474
SK-GT-2,0.749224
SK-GT-4,0.899372
SK-HEP-1,0.949905
SK-LMS-1,0.984663
SK-LU-1,0.968358
SK-MEL-1,0.97924
SK-MEL-2,0.991506
SK-MEL-24,0.97685
SK-MES-1,0.897921
SK-MG-1,0.966731
SK-MM-2,0.988987
SK-N-AS,0.976265
SK-N-DZ,0.901138
SK-N-FI,0.978278
SK-N-SH,0.970082
SK-OV-3,0.902024
SK-PN-DW,0.98474
SK-UT-1,0.976607
SKG-IIIa,0.967753
SKN,0.981243
SKN-3,0.953821
SLVL,0.990871
SN12C,0.940712
SNG-M,0.981985
SNU-1,0.869681
SNU-16,0.984517
SNU-175,0.885207
SNU-182,0.929809
SNU-387,0.975882
SNU-398,0.928274
SNU-407,0.937923
SNU-423,0.978308
SNU-449,0.914325
SNU-5,0.972474
SNU-61,0.927738
SNU-C1,0.967546
SNU-C2B,0.945364
SNU-C5,0.929582
SR,0.992283
ST486,0.988895
SU-DHL-10,0.980542
SU-DHL-5,0.981794
SU-DHL-6,0.995644
SU-DHL-8,0.968877
SU8686,0.907956
SUIT-2,0.950395
SUP-B15,0.978646
SUP-HD1,0.982905
SUP-M2,0.945302
SUP-T1,0.951613
SW1088,0.955568
SW1116,0.920632
SW1271,0.971268
SW13,0.89893
SW1417,0.94334
SW1463,0.939473
SW1573,0.976865
SW1710,0.971174
SW1783,0.98295
SW1990,0.957551
SW48,0.793701
SW620,0.98763
SW626,0.945856
SW684,0.970961
SW756,0.930019
SW780,0.976892
SW837,0.964658
SW872,0.970907
SW900,0.964711
SW948,0.985556
SW982,0.969816
Saos-2,0.98466
SiHa,0.96877
T-T,0.839341
T47D,0.959521
T84,0.9616
T98G,0.988533
TC-71,0.980033
TC-YIK,0.954389
TCCSUP,0.930883
TE-1,0.82254
TE-4,0.946177
TE-5,0.964522
TE-6,0.759807
TE-8,0.953852
TE-9,0.957311
TGBC11TKB,0.970302
TGBC1TKB,0.947133
TGBC24TKB,0.875499
TGW,0.970729
TK,0.976271
TK10,0.862341
TOV-112D,0.965467
TOV-21G,0.898637
TT,0.965066
TT2609-C02,0.960118
TUR,0.990103
TYK-nu,0.919427
U-118-MG,0.944643
U-2-OS,0.97012
U-266,0.985957
U-698-M,0.989605
U-87-MG,0.944784
U251,0.951418
UACC-257,0.94534
UACC-62,0.973113
UACC-812,0.986242
UM-UC-3,0.987766
UMC-11,0.898295
VA-ES-BJ,0.95875
VAL,0.983582
VCaP,0.980995
VM-CUB-1,0.968752
VMRC-LCD,0.984315
VMRC-RCZ,0.95792
WIL2-NS,0.946276
WM-115,0.982267
WM1552C,0.984349
WM278,0.949223
WM35,0.955476
WM793B,0.93764
WSU-DLCL2,0.949814
WSU-NHL,0.989251
YAPC,0.961098
YH-13,0.9619
YT,0.992734
ZR-75-30,0.97233
huH-1,0.959912
